variable,variable_long_name,variable_units,cf_standard_name
tas,Near-Surface Air Temperature,K,air_temperature
tasmax,Daily Maximum Near-Surface Air Temperature,K,air_temperature
tasmin,Daily Minimum Near-Surface Air Temperature,K,air_temperature
pr,Precipitation,kg m-2 s-1,precipitation_flux
ps,Surface Air Pressure,Pa,surface_air_pressure
psl,Sea Level Pressure,Pa,air_pressure_at_sea_level
huss,Near-Surface Specific Humidity,1,specific_humidity
sfcWind,Near-Surface Wind Speed,m s-1,wind_speed
sfcWindmax,Daily Maximum Near-Surface Wind Speed,m s-1,wind_speed
clt,Total Cloud Fraction,%,cloud_area_fraction
sund,Duration of Sunshine,s,duration_of_sunshine
rsds,Surface Downwelling Shortwave Radiation,W m-2,surface_downwelling_shortwave_flux_in_air
rlds,Surface Downwelling Longwave Radiation,W m-2,surface_downwelling_longwave_flux_in_air
hfls,Surface Upward Latent Heat Flux,W m-2,surface_upward_latent_heat_flux
hfss,Surface Upward Sensible Heat Flux,W m-2,surface_upward_sensible_heat_flux
rsus,Surface Upwelling Shortwave Radiation,W m-2,surface_upwelling_shortwave_flux_in_air
rlus,Surface Upwelling Longwave Radiation,W m-2,surface_upwelling_longwave_flux_in_air
evspsbl,Evaporation,kg m-2 s-1,water_evaporation_flux
evspsblpot,Potential Evapotranspiration,kg m-2 s-1,water_potential_evaporation_flux
mrfso,Soil Frozen Water Content,kg m-2,soil_frozen_water_content
mrros,Surface Runoff,kg m-2 s-1,surface_runoff_flux
mrro,Total Runoff,kg m-2 s-1,runoff_flux
mrso,Total Soil Moisture Content,kg m-2,soil_moisture_content
snw,Surface Snow Amount,kg m-2,surface_snow_amount
snm,Surface Snow Melt,kg m-2 s-1,surface_snow_melt_flux
prhmax,Daily Maximum Hourly Precipitation Rate,kg m-2 s-1,precipitation_flux
prc,Convective Precipitation,kg m-2 s-1,convective_precipitation_flux
rlut,TOA Outgoing Longwave Radiation,W m-2,toa_outgoing_longwave_flux
rsdt,TOA Incident Shortwave Radiation,W m-2,toa_incoming_shortwave_flux
rsut,TOA Outgoing Shortwave Radiation,W m-2,toa_outgoing_shortwave_flux
uas,Eastward Near-Surface Wind,m s-1,eastward_wind
vas,Northward Near-Surface Wind,m s-1,northward_wind
wsgsmax,Daily Maximum Near-Surface Wind Speed of Gust,m s-1,wind_speed_of_gust
tauu,Surface Downward Eastward Wind Stress,Pa,surface_downward_eastward_stress
tauv,Surface Downward Northward Wind Stress,Pa,surface_downward_northward_stress
ts,Surface Temperature,K,surface_temperature
zmla,Height of Boundary Layer,m,atmosphere_boundary_layer_thickness
prw,Water Vapor Path,kg m-2,atmosphere_water_vapor_content
clwvi,Condensed Water Path,kg m-2,atmosphere_cloud_condensed_water_content
clivi,Ice Water Path,kg m-2,atmosphere_cloud_ice_content
ua850,Eastward Wind,m s-1,eastward_wind
va850,Northward Wind,m s-1,northward_wind
ta850,Air Temperature,K,air_temperature
hus850,Specific Humidity,1,specific_humidity
ua500,Eastward Wind,m s-1,eastward_wind
va500,Northward Wind,m s-1,northward_wind
zg500,Geopotential Height,m,geopotential_height
ta500,Air Temperature,K,air_temperature
ua200,Eastward Wind,m s-1,eastward_wind
va200,Northward Wind,m s-1,northward_wind
ta200,Air Temperature,K,air_temperature
zg200,Geopotential Height,m,geopotential_height
clh,High Level Cloud Fraction,%,cloud_area_fraction_in_atmosphere_layer
clm,Mid Level Cloud Fraction,%,cloud_area_fraction_in_atmosphere_layer
cll,Low Level Cloud Fraction,%,cloud_area_fraction_in_atmosphere_layer
snc,Snow Area Fraction,%,surface_snow_area_fraction
snd,Snow Depth,m,surface_snow_thickness
sic,Sea Ice Area Fraction,%,sea_ice_area_fraction
prsn,Snowfall Flux,kg m-2 s-1,snowfall_flux
areacella,Atmosphere Grid-Cell Area,m2,cell_area
orog,Surface Altitude,m,surface_altitude
sftlf,Land Area Fraction,%,land_area_fraction
sftgif,Fraction of Grid Cell Covered with Glacier,%,land_ice_area_fraction
mrsofc,Capacity of Soil to Store Water,kg m-2,soil_moisture_content_at_field_capacity
rootd,Maximum Root Depth,m,root_depth
